"","month","day","hour","temp","precip","num_rides"
"1","01","01","00","00","-0.75",28312
"2","01","01","01","00","-0.86",31707
"3","01","01","02","00","-0.84",28068
"4","01","01","03","00","-0.77",24288
"5","01","01","04","00","-1.36",17081
"6","01","01","05","00","-1.68",9112
"7","01","01","06","00","-2.00",6637
"8","01","01","07","00","-1.87",6011
"9","01","01","08","00","-1.70",5586
"10","01","01","09","00","-1.60",6977
"11","01","01","10","00","-0.83",9949
"12","01","01","11","00","1.02",13870
"13","01","01","12","00","0.34",16582
"14","01","01","13","00","0.83",17448
"15","01","01","14","00","1.95",17994
"16","01","01","15","00","3.11",18279
"17","01","01","16","00","4.28",16602
"18","01","01","17","00","3.48",17511
"19","01","01","18","00","2.96",18082
"20","01","01","19","00","2.25",16485
"21","01","01","20","00","1.36",15017
"22","01","01","21","00","0.63",14801
"23","01","01","22","00","0.37",14005
"24","01","01","23","00","0.58",11610
"25","01","02","00","00","0.16",9388
"26","01","02","01","00","-0.12",6291
"27","01","02","02","00","0.21",4027
"28","01","02","03","00","0.61",2905
"29","01","02","04","00","0.39",2626
"30","01","02","05","00","0.18",2755
"31","01","02","06","00","0.16",5811
"32","01","02","07","00","-0.36",8256
"33","01","02","08","00","-0.52",10946
"34","01","02","09","00","-0.13",13373
"35","01","02","10","00","0.46",15243
"36","01","02","11","00","2.19",16999
"37","01","02","12","00","4.55",19252
"38","01","02","13","00","6.79",19023
"39","01","02","14","00","3.63",20260
"40","01","02","15","00","5.13",20429
"41","01","02","16","00","5.09",18223
"42","01","02","17","00","4.72",20680
"43","01","02","18","00","4.74",23008
"44","01","02","19","00","4.79",23227
"45","01","02","20","00","4.77",20153
"46","01","02","21","00","4.80",19611
"47","01","02","22","00","4.70",21722
"48","01","02","23","00","4.39",21088
"49","01","03","00","00","3.53",19467
"50","01","03","01","00","2.89",16660
"51","01","03","02","00","2.05",13607
"52","01","03","03","00","1.25",10620
"53","01","03","04","00","0.31",7061
"54","01","03","05","00","0.36",3512
"55","01","03","06","00","0.56",4120
"56","01","03","07","00","0.86",5216
"57","01","03","08","00","0.44",7908
